biliarysystem	#A73030
intestine	#91D1C2
liver	#8F7700
lung	#F39B7F
pancreas	#B09C85
prostate	#4A6990
salivarygland	#3B3B3B
stomach	#DC0000
thyroid	#7E6148
epithelial	#0073C2
mesenchymal	#a3e3af
neural	#868686
endothelial	#CD534C
immune	#c251a1
stem cells	#225805
enterocytes	#ED496F
stromal 2 (NPY)	#e4b974
colonocytes	#FFB300
goblet cells	#8e3101
cycling stromal cells	#47edd1
Interstitial cells of Cajal (ICC)	#f47a92
smooth muscle cells (SMC)	#2d62a3
mesoderm 1 (HAND1)	#9106eb
pericytes	#573794
Microfold cells	#f82745
mesoderm 2 (ZEB2)	#6435e0
schwann cell	#027ffe
basal cells	#16f648
ciliated cells	#1c15bc
enteroendocrine cells	#F7DC6F
mesothelial cells	#7DCEA0
neuron	#058ca9
tuft cells	#9e018a
cycling endothelial cells	#bdfd0b
stromal 1 (ADAMDEC1)	#b22760
lymphatic endothelium	#2bf49f
paneth cells	#cb9348
biliary cells	#43A047
mLTo cells	#46adaf
BEST4+ epithelial	#870f0f
club cells	#795548
alveolar type 1 (AT1) cells	#85C1E9
stellate cells	#ead9d5
thyrocytes	#CDDC39
pit cells	#8D6E63
ductal cells	#6300b5
pancreatic cells	#012824
neck cells	#a347fb
neuroendocrine cells	#eb1388
cardiovascular cells	#fe52cf
alveolar type 2 (AT2) cells	#f1f847
chief cells	#6c6f15
hepatocytes	#7788cd
beta cells	#0dc290
acinar cells	#3caa0a
kupffer cells	#08f8eb
stromal 3 (C7)	#5deb2e
stromal 4 (MMP1)	#d6a5fa
arterial	#ab1eba
capillary	#054ddc
mLN stromal	#854f49
portal endothelial	#3a0e43
central endothelial	#37d160
airway secretory cells	#a8bade
epsilon cells	#c76cde
alpha cells	#d7fdfd
delta cells	#8be46e
luminal cells	#e68fc6
quiescent cells	#6ea3fa
fibroblast	#1c3854
mature enterocytes	#c21df3
mature colonocytes	#537f88
myofibroblasts	#f2d71e
enterocyte precursors	#12401F
MUC2- goblet cells	#5536D5
